document_id,gt_row_index,name,attribute,value,units,page_number,page_confidence,corrected_page
R103,141,"Lake Malawi, Africa, site LI-Membe",nfix_rate,1276.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,144,"Lake Malawi, Africa, site Maleri N",nfix_rate,1190.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,145,"Lake Malawi, Africa, site Maleri N",nfix_rate,1068.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,147,"Lake Malawi, Africa, site Maleri S",nfix_rate,1310.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,150,"Lake Malawi, Africa, site Thumbi West",nfix_rate,2585.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,151,"Lake Malawi, Africa, site Thumbi West",nfix_rate,1029.0,ug-n2 m-2 h-1,"1, 3",ambiguous,
R103,139,"Lake Malawi, Africa, site LI-Makalawe",nfix_rate,642.0,ug-n2 m-2 h-1,1,high,
R103,140,"Lake Malawi, Africa, site LI-Makalawe",nfix_rate,743.0,ug-n2 m-2 h-1,1,high,
R103,142,"Lake Malawi, Africa, site LI-Membe",nfix_rate,590.0,ug-n2 m-2 h-1,1,high,
R103,143,"Lake Malawi, Africa, site LI-Membe",nfix_rate,445.0,ug-n2 m-2 h-1,1,high,
R103,146,"Lake Malawi, Africa, site Maleri N",nfix_rate,443.0,ug-n2 m-2 h-1,1,high,
R103,148,"Lake Malawi, Africa, site Maleri S",nfix_rate,782.0,ug-n2 m-2 h-1,1,high,
R103,149,"Lake Malawi, Africa, site Maleri S",nfix_rate,108.0,ug-n2 m-2 h-1,1,high,
R103,152,"Lake Malawi, Africa, site Thumbi West",nfix_rate,387.0,ug-n2 m-2 h-1,1,high,
R103,153,"Lake Malawi, Africa, site Thumbi West",nfix_rate,327.0,ug-n2 m-2 h-1,1,high,
R103,154,"Lake Malawi, Africa, site Maleri S",nfix_rate,718.0,ug-n2 m-2 h-1,3,high,
R103,155,"Lake Malawi, Africa, site Maleri S",nfix_rate,899.0,ug-n2 m-2 h-1,3,high,
R103,156,"Lake Malawi, Africa, site Maleri S",nfix_rate,948.0,ug-n2 m-2 h-1,3,high,
R103,157,"Lake Malawi, Africa, site Thumbi West",nfix_rate,383.0,ug-n2 m-2 h-1,3,high,
R103,158,"Lake Malawi, Africa, site Thumbi West",nfix_rate,492.0,ug-n2 m-2 h-1,3,high,
R103,159,"Lake Malawi, Africa, site Thumbi West",nfix_rate,349.0,ug-n2 m-2 h-1,3,high,
R103,160,"Lake Malawi, Africa, site Thumbi West",nfix_rate,982.0,ug-n2 m-2 h-1,3,high,
R103,161,"Lake Malawi, Africa, site Thumbi West",nfix_rate,721.0,ug-n2 m-2 h-1,3,high,
R121,380,Sabaki station point 18,nfix_rate,0.1,umol-n2 m-2 d-1,"8, 13",ambiguous,
R121,375,Kiwayuu station point 27,nfix_rate,86.9,umol-n2 m-2 d-1,13,high,
R121,376,Kiwayuu station point 28,nfix_rate,22.5,umol-n2 m-2 d-1,13,high,
R121,377,Sabaki station point 08,nfix_rate,0.4,umol-n2 m-2 d-1,13,high,
R121,378,Sabaki station point 11,nfix_rate,2.6,umol-n2 m-2 d-1,13,high,
R121,379,Sabaki station point 17,nfix_rate,23.6,umol-n2 m-2 d-1,13,high,
R121,381,Gazi station point 03,nfix_rate,2.3,umol-n2 m-2 d-1,13,high,
R121,382,Gazi station point 03 during surface bloom,nfix_rate,15695.5,umol-n2 m-2 d-1,13,high,
R121,383,Gazi station point 05,nfix_rate,0.7,umol-n2 m-2 d-1,13,high,
R130,515,Jiaozhou Bay,nfix_rate,0.29,nmol-n l-1 h-1,"1, 2, 3, 5",ambiguous,
R130,516,Jiaozhou Bay,nfix_rate,0.23,nmol-n l-1 h-1,"1, 3",ambiguous,
R130,518,Jiaozhou Bay,nfix_rate,0.27,nmol-n l-1 h-1,"1, 3, 5",ambiguous,
R130,517,Jiaozhou Bay,nfix_rate,0.1,nmol-n l-1 h-1,3,high,
R144,442,"Lake Taihu, China",nfix_rate,-14.0,umol-n m-2 h-1,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12",ambiguous,
R147,4,Arafura and Timor Sea,nfix_rate,23.0,nmol-n l-1 d-1,"0, 1, 12",ambiguous,
R147,5,Coral Sea,nfix_rate,6.0,nmol-n l-1 d-1,"3, 5, 6, 9, 11, 12, 13",ambiguous,
R156,85,Weipa mud flat,nfix_rate,19.6,mg-n m-2 d-1,"2, 4",ambiguous,
R156,417,Groote Eylandt open bay,nfix_rate,2.2,mg-n m-2 d-1,"2, 4",ambiguous,
R156,418,Groote Eylandt open bay,nfix_rate,2.6,mg-n m-2 d-1,"2, 4",ambiguous,
R156,419,Groote Eylandt open bay,nfix_rate,4.1,ug-n g-1 d-1,"2, 4",ambiguous,
R156,423,Groote Eylandt reef flat,nfix_rate,1.6,mg-n m-2 d-1,"2, 4",ambiguous,
R156,424,Groote Eylandt reef flat,nfix_rate,3.7,ug-n g-1 d-1,"2, 4",ambiguous,
R156,391,Weipa seagrass bed,nfix_rate,0.3,mg-n m-2 d-1,4,medium,
R156,392,Weipa seagrass bed,nfix_rate,0.1,mg-n m-2 d-1,4,medium,
R156,393,Weipa seagrass bed,nfix_rate,0.1,ug-n g-1 d-1,4,medium,
R156,422,Groote Eylandt reef flat,nfix_rate,0.3,mg-n m-2 d-1,4,medium,
R156,84,Weipa seagrass bed,nfix_rate,25.0,mg-n m-2 d-1,2,high,
R156,314,Groote Eylandt open bay,nfix_rate,33.0,mg-n m-2 d-1,2,high,
R156,315,Groote Eylandt open bay,nfix_rate,41.0,mg-n m-2 d-1,2,high,
R156,368,Groote Eylandt reef flat,nfix_rate,16.0,mg-n m-2 d-1,2,high,
R156,369,Groote Eylandt reef flat,nfix_rate,15.0,mg-n m-2 d-1,2,high,
R156,390,Weipa seagrass bed,nfix_rate,4.2,mg-n m-2 d-1,4,high,
R158,519,"Kendall Frost Reserve, Mission Bay, CA",nfix_rate,4.8,nmol-c2h4 g-1 h-1,"0, 2, 6, 9",ambiguous,
R158,520,"Kendall Frost Reserve, Mission Bay, CA",nfix_rate,5.4,nmol-c2h4 g-1 h-1,"0, 2, 6, 9",ambiguous,
R159,270,"Tijuana Estuary, Imperial Beach, California - Native habitat",nfix_rate,3.1,umol-c2h4 m-2 h-1,"0, 1, 10, 11",ambiguous,
R159,271,"Tijuana Estuary, Imperial beach, California - Habitat with tamarisk shrubs",nfix_rate,6.1,umol-c2h4 m-2 h-1,"0, 1, 10, 11",ambiguous,
R159,269,"Northern Wildlife Preserve, San Diego, California - Habitat with mussels",nfix_rate,11.0,umol-c2h4 m-2 h-1,4,medium,
R159,268,"Northern Wildlife Preserve, San Diego, California - Native habitat",nfix_rate,29.0,umol-c2h4 m-2 h-1,10,high,
R163,622,east coast USA,nfix_rate,3.7,nmol-n l-1 d-1,"2, 7",ambiguous,
R163,623,east coast USA,nfix_rate,2.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13, 14",ambiguous,
R163,625,east coast USA,nfix_rate,19.3,nmol-n l-1 d-1,"2, 6",ambiguous,
R163,628,east coast USA,nfix_rate,17.3,nmol-n l-1 d-1,"2, 5, 6, 7, 8",ambiguous,
R163,629,east coast USA,nfix_rate,22.5,nmol-n l-1 d-1,"2, 8",ambiguous,
R163,631,east coast USA,nfix_rate,30.9,nmol-n l-1 d-1,"2, 4, 5, 7",ambiguous,
R163,633,east coast USA,nfix_rate,39.0,nmol-n l-1 d-1,"2, 11",ambiguous,
R163,635,east coast USA,nfix_rate,3.8,nmol-n l-1 d-1,"2, 4, 6",ambiguous,
R163,636,east coast USA,nfix_rate,4.1,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,637,east coast USA,nfix_rate,2.1,nmol-n l-1 d-1,"2, 4, 8",ambiguous,
R163,638,east coast USA,nfix_rate,1.4,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,639,east coast USA,nfix_rate,1.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11",ambiguous,
R163,640,east coast USA,nfix_rate,1.7,nmol-n l-1 d-1,"4, 6",ambiguous,
R163,642,east coast USA,nfix_rate,3.2,nmol-n l-1 d-1,"4, 8, 13",ambiguous,
R163,643,east coast USA,nfix_rate,5.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13",ambiguous,
R163,644,east coast USA,nfix_rate,4.3,nmol-n l-1 d-1,"4, 5, 7",ambiguous,
R163,646,east coast USA,nfix_rate,2.2,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,647,east coast USA,nfix_rate,8.8,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,648,east coast USA,nfix_rate,2.6,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,649,east coast USA,nfix_rate,3.8,nmol-n l-1 d-1,"2, 4, 6",ambiguous,
R163,650,east coast USA,nfix_rate,5.6,nmol-n l-1 d-1,"5, 6, 7, 8, 14",ambiguous,
R163,651,east coast USA,nfix_rate,2.7,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,652,east coast USA,nfix_rate,8.6,nmol-n l-1 d-1,"5, 7",ambiguous,
R163,654,east coast USA,nfix_rate,17.3,nmol-n l-1 d-1,"2, 5, 6, 7, 8",ambiguous,
R163,655,east coast USA,nfix_rate,20.3,nmol-n l-1 d-1,"5, 8",ambiguous,
R163,657,east coast USA,nfix_rate,4.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 11, 13",ambiguous,
R163,658,east coast USA,nfix_rate,7.2,nmol-n l-1 d-1,"2, 5",ambiguous,
R163,659,east coast USA,nfix_rate,2.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13, 14",ambiguous,
R163,660,east coast USA,nfix_rate,2.3,nmol-n l-1 d-1,"2, 5, 6, 7, 8",ambiguous,
R163,661,east coast USA,nfix_rate,1.4,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,662,east coast USA,nfix_rate,1.3,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,663,east coast USA,nfix_rate,4.1,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,664,east coast USA,nfix_rate,4.5,nmol-n l-1 d-1,"5, 7, 8, 13",ambiguous,
R163,665,east coast USA,nfix_rate,4.1,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,666,east coast USA,nfix_rate,11.3,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,668,east coast USA,nfix_rate,4.4,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,669,east coast USA,nfix_rate,13.9,nmol-n l-1 d-1,"6, 8",ambiguous,
R163,670,east coast USA,nfix_rate,6.0,nmol-n l-1 d-1,"5, 6",ambiguous,
R163,671,east coast USA,nfix_rate,10.9,nmol-n l-1 d-1,"6, 8",ambiguous,
R163,672,east coast USA,nfix_rate,5.6,nmol-n l-1 d-1,"5, 6, 7, 8, 14",ambiguous,
R163,673,east coast USA,nfix_rate,1.5,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,674,east coast USA,nfix_rate,7.1,nmol-n l-1 d-1,"2, 6, 8",ambiguous,
R163,675,east coast USA,nfix_rate,1.9,nmol-n l-1 d-1,"2, 6, 7, 8",ambiguous,
R163,676,east coast USA,nfix_rate,1.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11",ambiguous,
R163,677,east coast USA,nfix_rate,0.7,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,678,east coast USA,nfix_rate,0.2,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8",ambiguous,
R163,679,east coast USA,nfix_rate,0.9,nmol-n l-1 d-1,"2, 4, 6, 7, 8",ambiguous,
R163,680,east coast USA,nfix_rate,2.7,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,681,east coast USA,nfix_rate,1.8,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,682,east coast USA,nfix_rate,1.1,nmol-n l-1 d-1,"5, 7, 8",ambiguous,
R163,684,east coast USA,nfix_rate,2.2,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,685,east coast USA,nfix_rate,21.9,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,687,east coast USA,nfix_rate,8.6,nmol-n l-1 d-1,"5, 7",ambiguous,
R163,688,east coast USA,nfix_rate,1.2,nmol-n l-1 d-1,"5, 6, 7, 8, 13",ambiguous,
R163,690,east coast USA,nfix_rate,25.7,nmol-n l-1 d-1,"2, 7, 8",ambiguous,
R163,692,east coast USA,nfix_rate,2.3,nmol-n l-1 d-1,"2, 5, 6, 7, 8",ambiguous,
R163,693,east coast USA,nfix_rate,2.6,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,694,east coast USA,nfix_rate,3.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 11, 13",ambiguous,
R163,695,east coast USA,nfix_rate,1.8,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,696,east coast USA,nfix_rate,9.1,nmol-n l-1 d-1,"4, 7, 8",ambiguous,
R163,697,east coast USA,nfix_rate,4.5,nmol-n l-1 d-1,"5, 7, 8, 13",ambiguous,
R163,698,east coast USA,nfix_rate,28.6,nmol-n l-1 d-1,"7, 8",ambiguous,
R163,699,east coast USA,nfix_rate,5.6,nmol-n l-1 d-1,"5, 6, 7, 8, 14",ambiguous,
R163,700,east coast USA,nfix_rate,3.7,nmol-n l-1 d-1,"2, 7",ambiguous,
R163,701,east coast USA,nfix_rate,7.0,nmol-n l-1 d-1,"5, 6, 7, 14",ambiguous,
R163,703,east coast USA,nfix_rate,4.1,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,704,east coast USA,nfix_rate,2.5,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,705,east coast USA,nfix_rate,4.3,nmol-n l-1 d-1,"4, 5, 7",ambiguous,
R163,706,east coast USA,nfix_rate,3.1,nmol-n l-1 d-1,"7, 13",ambiguous,
R163,707,east coast USA,nfix_rate,1.9,nmol-n l-1 d-1,"2, 6, 7, 8",ambiguous,
R163,708,east coast USA,nfix_rate,7.5,nmol-n l-1 d-1,"5, 7",ambiguous,
R163,709,east coast USA,nfix_rate,2.2,nmol-n l-1 d-1,"4, 7",ambiguous,
R163,711,east coast USA,nfix_rate,18.3,nmol-n l-1 d-1,"5, 6, 7, 8",ambiguous,
R163,712,east coast USA,nfix_rate,1.1,nmol-n l-1 d-1,"5, 7, 8",ambiguous,
R163,713,east coast USA,nfix_rate,1.8,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,714,east coast USA,nfix_rate,1.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11",ambiguous,
R163,715,east coast USA,nfix_rate,1.9,nmol-n l-1 d-1,"2, 6, 7, 8",ambiguous,
R163,716,east coast USA,nfix_rate,20.3,nmol-n l-1 d-1,"5, 8",ambiguous,
R163,717,east coast USA,nfix_rate,2.7,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,719,east coast USA,nfix_rate,0.7,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,720,east coast USA,nfix_rate,1.3,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,721,east coast USA,nfix_rate,10.9,nmol-n l-1 d-1,"6, 8",ambiguous,
R163,722,east coast USA,nfix_rate,9.1,nmol-n l-1 d-1,"4, 7, 8",ambiguous,
R163,723,east coast USA,nfix_rate,1.8,nmol-n l-1 d-1,"6, 7, 8",ambiguous,
R163,724,east coast USA,nfix_rate,2.1,nmol-n l-1 d-1,"2, 4, 8",ambiguous,
R163,725,east coast USA,nfix_rate,2.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13, 14",ambiguous,
R163,727,east coast USA,nfix_rate,1.2,nmol-n l-1 d-1,"5, 6, 7, 8, 13",ambiguous,
R163,728,east coast USA,nfix_rate,0.3,nmol-n l-1 d-1,"2, 4, 5, 7, 8, 13",ambiguous,
R163,730,east coast USA,nfix_rate,2.1,nmol-n l-1 d-1,"2, 4, 8",ambiguous,
R163,731,east coast USA,nfix_rate,4.5,nmol-n l-1 d-1,"5, 7, 8, 13",ambiguous,
R163,732,east coast USA,nfix_rate,4.7,nmol-n l-1 d-1,"7, 8",ambiguous,
R163,734,east coast USA,nfix_rate,5.6,nmol-n l-1 d-1,"5, 6, 7, 8, 14",ambiguous,
R163,735,east coast USA,nfix_rate,1.2,nmol-n l-1 d-1,"5, 6, 7, 8, 13",ambiguous,
R163,736,east coast USA,nfix_rate,5.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13",ambiguous,
R163,737,east coast USA,nfix_rate,1.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11",ambiguous,
R163,738,east coast USA,nfix_rate,3.2,nmol-n l-1 d-1,"4, 8, 13",ambiguous,
R163,739,east coast USA,nfix_rate,5.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13",ambiguous,
R163,740,east coast USA,nfix_rate,1.3,nmol-n l-1 d-1,"4, 5, 7, 8",ambiguous,
R163,741,east coast USA,nfix_rate,2.0,nmol-n l-1 d-1,"2, 4, 5, 6, 7, 8, 11, 13, 14",ambiguous,
R163,742,east coast USA,nfix_rate,3.3,nmol-n l-1 d-1,"7, 8",ambiguous,
R163,624,east coast USA,nfix_rate,12.9,nmol-n l-1 d-1,2,high,
R163,626,east coast USA,nfix_rate,10.8,nmol-n l-1 d-1,2,high,
R163,627,east coast USA,nfix_rate,11.7,nmol-n l-1 d-1,2,high,
R163,630,east coast USA,nfix_rate,24.5,nmol-n l-1 d-1,2,high,
R163,632,east coast USA,nfix_rate,35.1,nmol-n l-1 d-1,2,high,
R163,634,east coast USA,nfix_rate,23.3,nmol-n l-1 d-1,2,high,
R163,641,east coast USA,nfix_rate,4.2,nmol-n l-1 d-1,4,high,
R163,645,east coast USA,nfix_rate,3.5,nmol-n l-1 d-1,4,high,
R163,653,east coast USA,nfix_rate,15.7,nmol-n l-1 d-1,5,high,
R163,656,east coast USA,nfix_rate,6.5,nmol-n l-1 d-1,5,high,
R163,667,east coast USA,nfix_rate,4.9,nmol-n l-1 d-1,6,high,
R163,683,east coast USA,nfix_rate,9.2,nmol-n l-1 d-1,7,high,
R163,686,east coast USA,nfix_rate,11.9,nmol-n l-1 d-1,7,high,
R163,689,east coast USA,nfix_rate,5.3,nmol-n l-1 d-1,7,high,
R163,691,east coast USA,nfix_rate,49.8,nmol-n l-1 d-1,7,high,
R163,702,east coast USA,nfix_rate,10.6,nmol-n l-1 d-1,7,high,
R163,710,east coast USA,nfix_rate,22.2,nmol-n l-1 d-1,7,high,
R163,718,east coast USA,nfix_rate,2.8,nmol-n l-1 d-1,8,high,
R163,726,east coast USA,nfix_rate,2.4,nmol-n l-1 d-1,8,high,
R163,729,east coast USA,nfix_rate,5.5,nmol-n l-1 d-1,8,high,
R163,733,east coast USA,nfix_rate,12.2,nmol-n l-1 d-1,8,high,
R172,322,"Moreton bay, Australia",nfix_rate,5.0,umol-c2h4 m-2 h-1,"4, 7",ambiguous,
R172,348,"Moreton bay, Australia",nfix_rate,4.0,umol-c2h4 m-2 h-1,"4, 7",ambiguous,
R172,356,"Moreton bay, Australia",nfix_rate,6.0,umol-n m-2 h-1,"4, 7",ambiguous,
R172,357,"Moreton bay, Australia",nfix_rate,0.9,umol-n m-2 h-1,"4, 7",ambiguous,
R172,319,"Moreton bay, Australia",nfix_rate,26.9,umol-c2h4 m-2 h-1,4,high,
R172,320,"Moreton bay, Australia",nfix_rate,9.0,umol-c2h4 m-2 h-1,4,high,
R172,321,"Moreton bay, Australia",nfix_rate,6.4,umol-c2h4 m-2 h-1,4,high,
R172,323,"Moreton bay, Australia",nfix_rate,2.6,umol-c2h4 m-2 h-1,4,high,
R172,324,"Moreton bay, Australia",nfix_rate,1.8,umol-c2h4 m-2 h-1,4,high,
R172,325,"Moreton bay, Australia",nfix_rate,9.9,umol-c2h4 m-2 h-1,4,high,
R172,326,"Moreton bay, Australia",nfix_rate,8.6,umol-c2h4 m-2 h-1,4,high,
R172,327,"Moreton bay, Australia",nfix_rate,6.7,umol-c2h4 m-2 h-1,4,high,
R172,328,"Moreton bay, Australia",nfix_rate,4.8,umol-c2h4 m-2 h-1,4,high,
R172,329,"Moreton bay, Australia",nfix_rate,0.0,umol-c2h4 m-2 h-1,4,high,
R172,330,"Moreton bay, Australia",nfix_rate,1.6,umol-c2h4 m-2 h-1,4,high,
R172,331,"Moreton bay, Australia",nfix_rate,2.2,umol-c2h4 m-2 h-1,4,high,
R172,332,"Moreton bay, Australia",nfix_rate,2.2,umol-c2h4 m-2 h-1,4,high,
R172,333,"Moreton bay, Australia",nfix_rate,0.0,umol-c2h4 m-2 h-1,4,high,
R172,334,"Moreton bay, Australia",nfix_rate,46.0,umol-c2h4 m-2 h-1,4,high,
R172,335,"Moreton bay, Australia",nfix_rate,22.0,umol-c2h4 m-2 h-1,4,high,
R172,336,"Moreton bay, Australia",nfix_rate,17.5,umol-c2h4 m-2 h-1,4,high,
R172,337,"Moreton bay, Australia",nfix_rate,13.6,umol-c2h4 m-2 h-1,4,high,
R172,338,"Moreton bay, Australia",nfix_rate,12.1,umol-c2h4 m-2 h-1,4,high,
R172,339,"Moreton bay, Australia",nfix_rate,24.0,umol-c2h4 m-2 h-1,4,high,
R172,340,"Moreton bay, Australia",nfix_rate,18.4,umol-c2h4 m-2 h-1,4,high,
R172,341,"Moreton bay, Australia",nfix_rate,17.5,umol-c2h4 m-2 h-1,4,high,
R172,342,"Moreton bay, Australia",nfix_rate,13.3,umol-c2h4 m-2 h-1,4,high,
R172,343,"Moreton bay, Australia",nfix_rate,9.8,umol-c2h4 m-2 h-1,4,high,
R172,344,"Moreton bay, Australia",nfix_rate,0.0,umol-c2h4 m-2 h-1,4,high,
R172,345,"Moreton bay, Australia",nfix_rate,2.1,umol-c2h4 m-2 h-1,4,high,
R172,346,"Moreton bay, Australia",nfix_rate,2.9,umol-c2h4 m-2 h-1,4,high,
R172,347,"Moreton bay, Australia",nfix_rate,4.9,umol-c2h4 m-2 h-1,4,high,
R172,349,"Moreton bay, Australia",nfix_rate,33.0,umol-c2h4 m-2 h-1,4,high,
R172,350,"Moreton bay, Australia",nfix_rate,31.0,umol-c2h4 m-2 h-1,4,high,
R172,351,"Moreton bay, Australia",nfix_rate,14.0,umol-c2h4 m-2 h-1,4,high,
R172,352,"Moreton bay, Australia",nfix_rate,5.1,umol-c2h4 m-2 h-1,4,high,
R172,353,"Moreton bay, Australia",nfix_rate,1.4,umol-c2h4 m-2 h-1,4,high,
R172,354,"Moreton bay, Australia",nfix_rate,0.3,umol-c2h4 m-2 h-1,4,high,
R172,355,"Moreton bay, Australia",nfix_rate,35.0,umol-n m-2 h-1,7,high,
R172,358,"Moreton bay, Australia",nfix_rate,8.7,umol-n m-2 h-1,7,high,
R172,420,"Moreton bay, Australia",nfix_rate,61.0,umol-n m-2 h-1,7,high,
R172,421,"Moreton bay, Australia",nfix_rate,8.5,umol-n m-2 h-1,7,high,
R173,93,"Walker Creek Delta, Tomales Bay California",nfix_rate,8.3,nmol-c2h4 cm-2 h-1,"1, 3, 4, 5, 6",ambiguous,
R173,95,"Walker Creek Delta, Tomales Bay California",nfix_rate,25.0,nmol-c2h4 cm-2 h-1,"0, 6",ambiguous,
R173,97,"Walker Creek Delta, Tomales Bay California",nfix_rate,24.7,nmol-c2h4 cm-2 h-1,"0, 6",ambiguous,
R173,98,"Walker Creek Delta, Tomales Bay California",nfix_rate,8.3,nmol-c2h4 cm-2 h-1,"1, 3, 4, 5, 6",ambiguous,
R173,99,"Lagunitas Creek, Tomales Bay, CA",nfix_rate,22.7,nmol-c2h4 cm-2 h-1,"0, 6, 7",ambiguous,
R173,100,"Lagunitas Creek, Tomales Bay, CA",nfix_rate,7.3,nmol-c2h4 cm-2 h-1,"2, 3, 4, 5, 6",ambiguous,
R173,101,"Lagunitas Creek, Tomales Bay, CA",nfix_rate,20.3,nmol-c2h4 cm-2 h-1,"1, 3, 6, 7",ambiguous,
R173,102,"Lagunitas Creek, Tomales Bay, CA",nfix_rate,5.2,nmol-c2h4 cm-2 h-1,"6, 7",ambiguous,
R173,103,"Lagunitas Creek, Tomales Bay, CA",nfix_rate,2.7,nmol-c2h4 cm-2 h-1,"0, 1, 6, 7",ambiguous,
R173,94,"Walker Creek Delta, Tomales Bay California",nfix_rate,5.5,nmol-c2h4 cm-2 h-1,6,high,
R173,96,"Walker Creek Delta, Tomales Bay California",nfix_rate,47.8,nmol-c2h4 cm-2 h-1,6,high,
R225,162,"Mono Lake, Sierra Nevada, California - Station 3, 2 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R225,163,"Mono Lake, Sierra Nevada, California - Station 3, 18.5 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R225,164,"Mono Lake, Sierra Nevada, California - Station 3, 30 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R225,165,"Mono Lake, Sierra Nevada, California - Station 6, 2 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R225,166,"Mono Lake, Sierra Nevada, California - Station 6, 18.5 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R225,167,"Mono Lake, Sierra Nevada, California - Station 6, 30 m depth",nfix_rate,0.0,nmol-n l-1 d-1,"6, 8",ambiguous,
R230,169,Lake Verevi,nfix_rate,2.8,mg-n m-3 d-1,"0, 1, 2, 3, 4, 5, 7",ambiguous,
R230,170,Lake Verevi,nfix_rate,0.3,mg-n m-3 d-1,"0, 3",ambiguous,
R230,171,Lake Verevi,nfix_rate,0.38,mg-n m-3 d-1,3,high,
R241,581,"Great Peconic Bay, USA",nfix_rate,0.17,nmol-c2h4 cm-2 h-1,"24, 37",ambiguous,
R241,582,"Great Peconic Bay, USA",nfix_rate,-0.84,mmol-n m-2 d-1,34,high,
